Property ID,Property name,Final URL,Image URL,Destination name,Price,Star rating,Score,Max score,Facilities
688951073985,Объект Bamboo Garden,https://sutochno.ru/front/searchapp/hotels/68895,https://pumpons.github.io/sutochno-feeds/images/69b6e6a46d3d1c81.png,Адлер,4130 RUB,0,4.9210600907029,5.0,
688951216915,Объект Bamboo Garden,https://sutochno.ru/front/searchapp/hotels/68895,https://pumpons.github.io/sutochno-feeds/images/9c456aeac8456434.png,Адлер,2360 RUB,0,4.9210600907029,5.0,
688951111593,Объект Bamboo Garden,https://sutochno.ru/front/searchapp/hotels/68895,https://pumpons.github.io/sutochno-feeds/images/5dc0b21805c97217.png,Адлер,3540 RUB,0,4.9210600907029,5.0,
688951472313,Объект Bamboo Garden,https://sutochno.ru/front/searchapp/hotels/68895,https://pumpons.github.io/sutochno-feeds/images/a752acef5d3afa4b.png,Адлер,1416 RUB,0,4.9210600907029,5.0,
11301612907,Гостевой дом Сан Лайф,https://sutochno.ru/front/searchapp/hotels/11301,https://pumpons.github.io/sutochno-feeds/images/d4f4c548bb97cf7e.png,Адлер,1550 RUB,0,4.9205555555556,5.0,трансфер;круглосуточная стойка
11301615557,Гостевой дом Сан Лайф,https://sutochno.ru/front/searchapp/hotels/11301,https://pumpons.github.io/sutochno-feeds/images/5d8606b8c5c9f4bd.png,Адлер,2500 RUB,0,4.9205555555556,5.0,трансфер;круглосуточная стойка
11301612887,Гостевой дом Сан Лайф,https://sutochno.ru/front/searchapp/hotels/11301,https://pumpons.github.io/sutochno-feeds/images/80411646dc12917b.png,Адлер,1250 RUB,0,4.9205555555556,5.0,трансфер;круглосуточная стойка
1535351991622,Гостевой дом Эдельвейс,https://sutochno.ru/front/searchapp/hotels/153535,https://pumpons.github.io/sutochno-feeds/images/f75eba54e8992e23.png,Адлер,1300 RUB,0,4.9202279202279,5.0,круглосуточная стойка;Бассейн (открытый);бассейн с подогревом;камера хранения
1535351991600,Гостевой дом Эдельвейс,https://sutochno.ru/front/searchapp/hotels/153535,https://pumpons.github.io/sutochno-feeds/images/6d830d57a7e60327.png,Адлер,1100 RUB,0,4.9202279202279,5.0,круглосуточная стойка;Бассейн (открытый);бассейн с подогревом;камера хранения
56571972711,Объект Однокомнатная квартира в доме у моря,https://sutochno.ru/front/searchapp/hotels/56571,https://pumpons.github.io/sutochno-feeds/images/7aa508e4becaa338.png,Сочи,2000 RUB,0,4.9194444444444,5.0,сад;Терраса
994291320889,Гостиница Горизонт,https://sutochno.ru/front/searchapp/hotels/99429,https://pumpons.github.io/sutochno-feeds/images/2a8806c5be3d273e.png,Красная Поляна,2950 RUB,0,4.9188777268483,5.0,круглосуточная стойка;сад;Терраса;Игровая площадка для детей;прачечная
994291320667,Гостиница Горизонт,https://sutochno.ru/front/searchapp/hotels/99429,https://pumpons.github.io/sutochno-feeds/images/74d107629eb4252f.png,Красная Поляна,2800 RUB,0,4.9188777268483,5.0,круглосуточная стойка;сад;Терраса;Игровая площадка для детей;прачечная
